citizenship_id,citizenship
1,Afghanistan
2,Åland Islands
3,Albania
4,Algeria
5,American Samoa
6,Andorra
7,Angola
8,Anguilla
9,Antarctica
10,Antigua and Barbuda
11,Argentina
12,Armenia
13,Aruba
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda
26,Bhutan
27,Bolivia (Plurinational State of)
28,"Bonaire, Sint Eustatius and Saba"
29,Bosnia and Herzegovina
30,Botswana
31,Bouvet Island
32,Brazil
33,British Indian Ocean Territory
34,Brunei Darussalam
35,Bulgaria
36,Burkina Faso
37,Burundi
38,Cabo Verde
39,Cambodia
40,Cameroon
41,Canada
42,Cayman Islands
43,Central African Republic
44,Chad
45,Chile
46,China
47,Christmas Island
48,Cocos (Keeling) Islands
49,Colombia
50,Comoros
51,Congo
52,"Congo, Democratic Republic of the"
53,Cook Islands
54,Costa Rica
55,Côte d'Ivoire
56,Croatia
57,Cuba
58,Curaçao
59,Cyprus
60,Czechia
61,Denmark
62,Djibouti
63,Dominica
64,Dominican Republic
65,Ecuador
66,Egypt
67,El Salvador
68,Equatorial Guinea
69,Eritrea
70,Estonia
71,Eswatini
72,Ethiopia
73,Falkland Islands (Malvinas)
74,Faroe Islands
75,Fiji
76,Finland
77,France
78,French Guiana
79,French Polynesia
80,French Southern Territories
81,Gabon
82,Gambia
83,Georgia
84,Germany
85,Ghana
86,Gibraltar
87,Greece
88,Greenland
89,Grenada
90,Guadeloupe
91,Guam
92,Guatemala
93,Guernsey
94,Guinea
95,Guinea-Bissau
96,Guyana
97,Haiti
98,Heard Island and McDonald Islands
99,Holy See
100,Honduras
101,Hong Kong
102,Hungary
103,Iceland
104,India
105,Indonesia
106,Iran (Islamic Republic of)
107,Iraq
108,Ireland
109,Isle of Man
110,Israel
111,Italy
112,Jamaica
113,Japan
114,Jersey
115,Jordan
116,Kazakhstan
117,Kenya
118,Kiribati
119,"Korea, Republic of"
120,Kuwait
121,Kyrgyzstan
122,Lao People's Democratic Republic
123,Latvia
124,Lebanon
125,Lesotho
126,Liberia
127,Libya
128,Liechtenstein
129,Lithuania
130,Luxembourg
131,Macao
132,Madagascar
133,Malawi
134,Malaysia
135,Maldives
136,Mali
137,Malta
138,Marshall Islands
139,Martinique
140,Mauritania
141,Mauritius
142,Mayotte
143,Mexico
144,Micronesia (Federated States of)
145,"Moldova, Republic of"
146,Monaco
147,Mongolia
148,Montenegro
149,Montserrat
150,Morocco
151,Mozambique
152,Myanmar
153,Namibia
154,Nauru
155,Nepal
156,Netherlands
157,New Caledonia
158,New Zealand
159,Nicaragua
160,Niger
161,Nigeria
162,Niue
163,Norfolk Island
164,North Macedonia
165,Northern Mariana Islands
166,Norway
167,Oman
168,Pakistan
169,Palau
170,"Palestine, State of"
171,Panama
172,Papua New Guinea
173,Paraguay
174,Peru
175,Philippines
176,Pitcairn
177,Poland
178,Portugal
179,Puerto Rico
180,Qatar
181,Réunion
182,Romania
183,Russian Federation
184,Rwanda
185,Saint Barthélemy
186,"Saint Helena, Ascension and Tristan da Cunha"
187,Saint Kitts and Nevis
188,Saint Lucia
189,Saint Martin (French part)
190,Saint Pierre and Miquelon
191,Saint Vincent and the Grenadines
192,Samoa
193,San Marino
194,Sao Tome and Principe
195,Saudi Arabia
196,Senegal
197,Serbia
198,Seychelles
199,Sierra Leone
200,Singapore
201,Sint Maarten (Dutch part)
202,Slovakia
203,Slovenia
204,Solomon Islands
205,Somalia
206,South Africa
207,South Georgia and the South Sandwich Islands
208,South Sudan
209,Spain
210,Sri Lanka
211,Sudan
212,Suriname
213,Svalbard and Jan Mayen
214,Sweden
215,Switzerland
216,Syrian Arab Republic
217,"Taiwan, Province of China"
218,Tajikistan
219,"Tanzania, United Republic of"
220,Thailand
221,Timor-Leste
222,Togo
223,Tokelau
224,Tonga
225,Trinidad and Tobago
226,Tunisia
227,Turkey
228,Turkmenistan
229,Turks and Caicos Islands
230,Tuvalu
231,Uganda
232,Ukraine
233,United Arab Emirates
234,United Kingdom of Great Britain and Northern Ireland
235,United States of America
236,United States Minor Outlying Islands
237,Uruguay
238,Uzbekistan
239,Vanuatu
240,Venezuela (Bolivarian Republic of)
241,Viet Nam
242,Virgin Islands (British)
243,Virgin Islands (U.S.)
244,Wallis and Futuna
245,Western Sahara
246,Yemen
247,Zambia
248,Zimbabwe
